商品名,取引金額 (円),投稿日,1000視聴回数取引金額 (円),広告視聴率,視聴回数,クリエイター,フォロワー数,動画ID,動画リンク
柔らか肌触り メンズワイドパンツ 秋 ゆったりリラックスパンツ 無地ロングパンツ ウエストゴム 大きいサイズ M‑5XL,32万円,2026-09-22,"1,486円",17.65%,21.66万,@kokokoshop5,886,7688013711113571604,https://www.tiktok.com/@kokokoshop5/video/7688013711113571604
【Nature In】ビオリレー BIO RELAY 1日1粒 オールインワン腸活サプリ （60粒入/60日分）6兆個 25種類 ヒト由来 乳酸菌 ビフィズス菌 酢酸菌 酪酸菌 トリプトファン ラフマ ネムノキ イヌリン オリゴ糖 プロバイオティクス プレバイオティクス,32万円,2026-02-05,730円,6.89%,43.99万,@xyli.toru,1.92万,7603340152131374354,https://www.tiktok.com/@xyli.toru/video/7603340152131374354
Rokid AIディスプレイ搭載スマートグラス 12MPカメラ 4K写真・3K動画撮影 グローバル対応リアルタイム翻訳 ビジネス向け演説プロンプター AR可視化ナビ ChatGPT・Gemini搭載 AIアシスタント 頭部操作で通話対応 度付きレンズ対応 超軽量49g 日常・海外旅行に最適 急速充電,32万円,2026-09-16,"1,884円",28.70%,17.04万,@mark.10.dmcd,1.22万,7685819393984580882,https://www.tiktok.com/@mark.10.dmcd/video/7685819393984580882
【水光チャージセット】エレキリフトジェル / ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),32万円,2026-08-28,499円,0%,63.89万,@mai.imoko1017,54.83万,7679017714417175828,https://www.tiktok.com/@mai.imoko1017/video/7679017714417175828
【ELEKI LIFT 王道セット】ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),32万円,2026-06-24,"1,765円",12.76%,18.02万,@piixpopo,28.31万,7654899550171581716,https://www.tiktok.com/@piixpopo/video/7654899550171581716
思わず寝転びたくなる！フランネル キルトラグ春夏秋冬オールシーズン対応90x130cm/130×185cm/185×185cm/185×240cm  丸洗いok  おしゃれでふんわりやわらか 床暖房・ホットカーペット対応 滑り止め加工,32万円,2026-09-15,929円,11.67%,34.24万,@damarenai_chiyo,492,7685542367775984917,https://www.tiktok.com/@damarenai_chiyo/video/7685542367775984917
【3周年記念】限定セール！藤の花ブレスレット — ロマンチックなラベンダーストーン×上品なデザイン、デートにもぴったり,32万円,2026-09-03,"1,828円",25.73%,17.26万,@umigift.jp,2.94万,7681241167362673941,https://www.tiktok.com/@umigift.jp/video/7681241167362673941
送料無料  高音質ワイヤレスイヤホン Bluetoothイヤホン 耳掛け式 軽量フィット 折りたたみ収納 IPX5防水 防汗 145時間再生 通勤・運動・ランニング向け プレゼントにも喜ばれる実用モデル,31万円,2026-09-04,728円,3.21%,43.15万,@zayneyzvg5o,"1,433",7681256930249051399,https://www.tiktok.com/@zayneyzvg5o/video/7681256930249051399
【BnD 日本公式】 アンダーアーム ボディクリーム 100g デリケートゾーン スキンケア,31万円,2026-04-20,764円,2.94%,41.07万,@remi...chan,2.71万,7630677886994992391,https://www.tiktok.com/@remi...chan/video/7630677886994992391
揚げミルクプリン もちもちスクイーズ やわらかい触感のおもちゃ,31万円,2026-09-19,"1,470円",0%,21.27万,@yoyomi95,2.41万,7687135669981875476,https://www.tiktok.com/@yoyomi95/video/7687135669981875476
【特別クーポンで50％OFF】【お試し用】あたりめ 200g 形不揃い・切れ端 するめ スルメ メガ盛り お徳用 おつまみ 珍味 いか スルメイカ するめいか 酒の肴 在宅 中国産 メール便,31万円,2026-08-30,"1,305円",9.17%,23.77万,@higeshokudo,2.78万,7679807650263256340,https://www.tiktok.com/@higeshokudo/video/7679807650263256340
SaiKuCo【2枚入】着圧レギンス 着圧スパッツ レディース ハイウエスト・お腹引き締め 着圧 レギンス スパッツ 着圧タイツ 秋冬 裏起毛 美脚 柔らかい 脚痩せ むくみ ダイエット タイツ グラマラス ダイエット ヨガ,31万円,2026-09-20,"5,068円",69.74%,6.11万,@kurastore,1.23万,7687487765449116936,https://www.tiktok.com/@kurastore/video/7687487765449116936
"種類が選べる 羽二重餅 9枚入り 羽二重 はぶたえもち 福井銘菓 餅菓子 和スイーツ 生菓子 お菓子 和菓子 餅 お茶請け 個包装 お取り寄せ グルメ ギフト 贈答用 お祝い 内祝い 手土産 プレゼント 福井名物 送料無料1,000円ポッキリ",31万円,2026-09-16,"1,776円",6.12%,17.42万,@tarakooo24,"9,719",7686108431027244295,https://www.tiktok.com/@tarakooo24/video/7686108431027244295
【日本製】洗濯革命 ナノバブール Wトルネード 【全自動洗濯機用 ドラム式 対応】,31万円,2026-09-06,"1,351円",10.67%,22.77万,@yoshinobu_yade,5.75万,7682283426434649365,https://www.tiktok.com/@yoshinobu_yade/video/7682283426434649365
バター taonini 泥感 手作り 無害 食品グレードシリコン スクイーズ、ゆっくりとした反動でストレス解消になるおもちゃ,31万円,2026-08-13,"1,249円",5.98%,24.59万,@0518sesepon,4.62万,7673386138513575186,https://www.tiktok.com/@0518sesepon/video/7673386138513575186
期間限定割引[眼鏡ケース 眼鏡拭き付属]韓国版女性超軽量変色眼鏡 近視用メガネ レディース調光メガネ 超軽量 ブルーライトカット 変色サ (対応 PC＋金属フレーム 日中夜兼用 おしゃれメガネ アジア人の顔型にフィットする設計,31万円,2026-09-19,662円,7.94%,46.37万,@beyan_diet,"8,087",7687117152230313224,https://www.tiktok.com/@beyan_diet/video/7687117152230313224
【dadawoca】立ち仕事やスポーツに 衝撃吸収 通気性抜群 快適インソール 男女兼用,31万円,2026-09-15,279円,2.83%,109.84万,@ruben.pppr,"1,315",7685622322568645908,https://www.tiktok.com/@ruben.pppr/video/7685622322568645908
【公式】 KITEN バルーンラッシュ まつ毛美容液 8ml,30万円,2026-09-10,780円,10.39%,39.07万,@gekidyuwm1m,"6,946",7683833070117506324,https://www.tiktok.com/@gekidyuwm1m/video/7683833070117506324
【公式】オットキャスト Ottocast Play2Video Ultra Android 12 CarPlay Box 人気アプリTVer/YouTube/Netflix/Prime Videoが視聴可能 2016年以降の純正で有線のカープレイ搭載車に対応,30万円,2026-06-26,"1,433円",5.67%,21.25万,@yoshinobu_yade,5.75万,7655643470211681556,https://www.tiktok.com/@yoshinobu_yade/video/7655643470211681556
Type-C 有線イヤホン メタリック シルバー インナーイヤー型 マイク付き リモコン付き 音量調整 メタル 高音質 クリア通話 ハンズフリー通話 Y2K トレンド おしゃれ スマホイヤホン ケース付き iPhone 17 16 15 14 13 12 iPad Android PC 多機種対応 通勤 通学 ギフト,30万円,2026-09-17,137円,1.46%,221.43万,@ngangeejapan,895,7686334778886376711,https://www.tiktok.com/@ngangeejapan/video/7686334778886376711
【公式】オットキャスト OTTOCAST MINI Cube 3.0 新型 ミニ CarPlay＆AndroidAuto ワイヤレス アダプター 2026最新 アンドロイドオート＆カープレイ無線化接続 純正有線CarPlay/Android Auto搭載車適合 ナビ・音声コントロール・音楽・ハンズフリー通話に対応 黒い【技適認証取得済み】,30万円,2026-09-18,294円,3.57%,101.19万,@natsu_diet45,15.6万,7686825548248648968,https://www.tiktok.com/@natsu_diet45/video/7686825548248648968
"【今だけ6,000円OFFクーポン】アクションカメラ ポケットジンバル 4K 動画撮影 7500万画素 32GBメモリカード付属 小型 軽量 1.72インチ画面 Bluetooth6.1 高性能【PL保険加入済み製品・安心】",30万円,2026-08-27,"1,814円",26.55%,16.28万,@mimi_gohan_,2.39万,7678398893222137096,https://www.tiktok.com/@mimi_gohan_/video/7678398893222137096
桜の香り 5in1 洗濯洗剤カプセル 5 室分離構造 濃縮酵素配合 強力洗浄・消臭・柔軟・色落ち防止 長持ちフレグランス バケツ 70 個入り 家庭用洗濯ビーズ,29万円,2026-09-16,"2,504円",0%,11.78万,@c.gi.1m504,"1,340",7685972654150683922,https://www.tiktok.com/@c.gi.1m504/video/7685972654150683922
《JaVaジャバコラボ》ざっくり×配色が旬顔。配色スキッパーオーバーサイズ鹿の子編みニット（長袖） jv1410040,29万円,2026-09-15,817円,2.58%,36.01万,@classicalelf_official,15.91万,7685732261018275090,https://www.tiktok.com/@classicalelf_official/video/7685732261018275090
